Date;Real GDP growth;Nominal GDP growth;Real disposable income growth;Nominal disposable income growth;Unemployment rate;CPI inflation rate;3-month Treasury rate;5-year Treasury yield;10-year Treasury yield;BBB corporate yield;Mortgage rate;Prime rate;Dow Jones Total Stock Market Index;House Price Index;Commercial Real Estate Price Index;Market Volatility Index
31.03.2000;1.5;4.2;7.2;10.7;4.0;4.0;5.5;6.6;6.7;8.3;8.3;8.7;14.296;102;125;27.0
30.06.2000;7.5;10.2;4.9;6.9;3.9;3.2;5.7;6.5;6.4;8.6;8.3;9.2;13.619;105;134;33.5
30.09.2000;0.4;2.8;5.3;8.0;4.0;3.7;6.0;6.1;6.1;8.2;8.0;9.5;13.613;107;143;21.9
31.12.2000;2.4;4.6;2.5;4.9;3.9;2.9;6.0;5.6;5.8;8.0;7.6;9.5;12.176;110;146;31.7
31.03.2001;-1.3;1.3;3.3;6.4;4.2;3.9;4.8;4.9;5.3;7.5;7.0;8.6;10.646;112;144;32.8
30.06.2001;2.5;5.0;-1.0;0.8;4.4;2.8;3.7;4.9;5.5;7.5;7.1;7.3;11.407;114;144;34.7
30.09.2001;-1.6;0.0;9.0;9.2;4.8;1.1;3.2;4.6;5.3;7.2;7.0;6.6;9.563;116;146;43.7
31.12.2001;1.1;2.4;-6.5;-6.3;5.5;-0.3;1.9;4.2;5.1;7.1;6.8;5.2;10.708;118;139;35.3
31.03.2002;3.4;4.7;9.7;10.6;5.7;1.3;1.7;4.5;5.4;7.4;7.0;4.8;10.776;121;143;26.1
30.06.2002;2.5;3.9;3.3;6.4;5.8;3.2;1.7;4.5;5.4;7.5;6.8;4.8;9.384;124;142;28.4
30.09.2002;1.6;3.6;0.6;2.7;5.7;2.2;1.6;3.4;4.5;7.2;6.3;4.8;7.774;127;144;45.1
31.12.2002;0.5;2.8;2.6;4.5;5.9;2.4;1.3;3.1;4.3;6.9;6.1;4.5;8.343;129;150;42.6
31.03.2003;2.1;4.1;-0.2;2.9;5.9;4.2;1.2;2.9;4.2;6.2;5.8;4.3;8.052;132;155;34.7
30.06.2003;3.6;5.1;5.1;5.5;6.1;-0.7;1.0;2.6;3.8;5.3;5.5;4.2;9.342;135;154;29.1
30.09.2003;6.8;9.3;7.2;10.0;6.1;3.0;0.9;3.1;4.4;5.6;6.0;4.0;9.650;139;150;22.7
31.12.2003;4.7;7.3;1.1;3.1;5.8;1.5;0.9;3.2;4.4;5.4;5.9;4.0;10.800;143;152;21.1
31.03.2004;2.3;5.2;1.8;5.0;5.7;3.4;0.9;3.0;4.1;5.0;5.6;4.0;11.039;148;161;21.6
30.06.2004;3.2;6.5;4.2;7.1;5.6;3.2;1.1;3.7;4.7;5.7;6.1;4.0;11.145;154;169;20.0
30.09.2004;3.8;6.5;2.9;4.9;5.4;2.6;1.5;3.5;4.4;5.4;5.9;4.4;10.894;159;180;19.3
31.12.2004;4.2;7.4;5.2;8.8;5.4;4.4;2.0;3.5;4.3;5.1;5.7;4.9;11.952;165;180;16.6
31.03.2005;4.5;7.9;-4.8;-2.5;5.3;2.0;2.5;3.9;4.4;5.2;5.8;5.4;11.637;172;185;14.7
30.06.2005;2.0;5.0;3.9;6.6;5.1;2.7;2.9;3.9;4.2;5.4;5.7;5.9;11.857;179;189;17.7
30.09.2005;3.2;7.0;1.7;6.1;5.0;6.2;3.4;4.0;4.3;5.4;5.8;6.4;12.283;185;198;14.2
31.12.2005;2.3;5.6;3.4;6.7;5.0;3.8;3.8;4.4;4.6;5.8;6.2;7.0;12.497;190;204;16.5
31.03.2006;5.5;8.5;8.3;10.6;4.7;2.1;4.4;4.6;4.7;5.8;6.2;7.4;13.122;193;211;14.6
30.06.2006;1.0;4.6;1.5;5.1;4.6;3.7;4.7;5.0;5.2;6.3;6.6;7.9;12.809;193;219;23.8
